dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
1027_ESL,0.5388583051441598,-1.2366521171269031,0.859195873222903,18.5,3472.016741156578
1028_SWD,0.629792426278991,-0.9247340182107323,0.3606521718309421,86.0,3723.0725556612015
1029_LEV,0.6394292167777968,-0.8943635921590382,0.5491868644331818,29.0,3577.4452110528946
1030_ERA,1.5636457120001692,0.8940360618422787,0.37842019124450516,41.0,3587.941890478134
1089_USCrime,18.448312664817887,5.829903412032165,0.7956442071511156,14.0,3531.2374308109283
1096_FacultySalaries,2.2849784061810556,1.6469163194157428,0.7074194412452461,8.0,3618.472058057785
1191_BNG_pbc,903.84421459978,13.613314028487785,0.32923406383790843,41.0,8143.336926698685
1193_BNG_lowbwt,476.32721364244946,12.332194787238194,0.5671184408932809,26.0,10971.038936972618
1196_BNG_pharynx,303.78979695155857,11.432672008752647,0.4724086715326859,43.0,11086.859431624413
1199_BNG_echoMonths,11.944732877073852,4.960579550927971,0.4315017386100417,20.0,9845.714544296265
1201_BNG_breastTumor,9.746611272674727,4.553839239020321,0.11352655477911386,69.0,10052.328880906105
1203_BNG_pwLinear,2.928212894994269,2.148778545663829,0.5714913104724815,58.5,8701.86229968071
1595_poker,0.7392416914189694,-0.6042654364812095,0.08389406699109919,99.5,10436.563752412796
192_vineyard,2.636130393215563,1.9378225955811217,0.5393187772593524,14.0,3437.687469959259
195_auto_price,2237.550874083843,15.425302105698156,0.799176484684871,26.0,3273.255410552025
197_cpu_act,4.230139527524463,2.8844691635962962,0.9468563385728477,14.0,4988.6243933439255
201_pol,22.072475922391064,6.188577201379359,0.7209760295493826,48.5,5073.710864543915
207_autoPrice,2190.175988576694,15.383411070626444,0.8126383987415995,24.0,3240.648701071739
210_cloud,0.39564109518640356,-1.8664580639468586,0.8134635250461042,14.0,3012.207870721817
215_2dplanes,1.4306483762356264,0.7162553574558814,0.8934574349971838,67.0,8921.097679138184
218_house_8L,33909.61061288367,20.862785944294984,0.6014687916084404,35.0,10133.910195946693
225_puma8NH,3.2712202809205517,2.3703247715246127,0.6619171348822155,38.0,6362.774950027466
227_cpu_small,4.778640849018679,3.128312311133467,0.9330165004522004,14.0,6521.491018414497
228_elusage,9.840565685762614,4.57221251052417,0.7751095201456855,8.0,3147.351343870163
229_pwLinear,2.0332452554935205,1.4192661083966245,0.8377260291898696,58.0,1999.736171722412
230_machine_cpu,53.58489084938993,7.960940732632569,0.8711665158921128,14.0,3708.61934530735
294_satellite_image,1.086253003712393,0.1654415384961321,0.7569226932041921,33.5,6547.232869744301
344_mv,1.5392033930285696,0.8625287588445112,0.9778572655655192,23.0,6720.740700364113
4544_GeographicalOriginalofMusic,0.4806777450279056,-1.4651435028233968,0.7588932748279396,44.0,2134.2222633361816
485_analcatdata_vehicle,224.38779557924707,10.82671193240149,0.3242274972512847,25.0,2161.929183125496
503_wind,3.3573146233688624,2.4222822124449745,0.7432567967999355,32.0,5974.559048175812
505_tecator,1.9268350451380725,1.31171826532205,0.9821140362114936,8.0,2163.360181570053
519_vinnie,1.6146838348231318,0.9582764904821837,0.7324597988732444,8.0,3711.3119801282883
522_pm10,0.8467805010624102,-0.33268142042212234,0.14142007177836408,78.5,3359.6071031093597
523_analcatdata_neavote,0.9466814598844974,-0.11280689286326175,0.9364016131112185,8.0,3552.0179228782654
527_analcatdata_election2000,15676.543315694063,19.319067669905756,0.9251625344906148,8.0,2629.314793944359
529_pollen,1.4564297727260898,0.7519681294146542,0.7780501229760076,20.0,5581.71101808548
537_houses,64888.32347310314,22.16080946407891,0.6855060046576886,41.0,10894.049896240234
542_pollution,42.89459246181227,7.515929092993768,0.3648559265449224,20.0,3591.832220673561
547_no2,0.5446795135676947,-1.2151460549930593,0.4255873372625913,64.5,3377.182793855667
556_analcatdata_apnea2,1343.5968323798816,14.406209445459401,0.851783879937217,28.0,3463.5095611810684
