dataset,random_seed,r2_train,r2_test
687_sleuth_ex1605,15795,0.90891412360609,-0.5271183992214603
562_cpu_small,23654,0.9729951491076299,0.9701936419228565
593_fri_c1_1000_10,21575,0.9496303874396644,0.9396739545054854
596_fri_c2_250_5,860,0.956226682509068,0.9464004088207063
547_no2,860,0.6379022900398374,0.42064773591318405
197_cpu_act,11284,0.9820053598799897,0.9776108382206412
595_fri_c0_1000_10,860,0.9557956890628102,0.9539665718036702
1196_BNG_pharynx,29802,0.4875356711066241,0.48588506152157085
653_fri_c0_250_25,23654,0.9336026601692806,0.910448232548814
537_houses,860,0.7525409452441203,0.7417113108683453
706_sleuth_case1202,23654,0.8341690323443349,0.45013649997128113
648_fri_c1_250_50,6265,0.8808309900124076,0.8406000520999531
584_fri_c4_500_25,860,0.9155547528522052,0.8019069707104762
617_fri_c3_500_5,5390,0.94084870859379,0.834941757528828
590_fri_c0_1000_50,11964,0.889443477994437,0.8373329669135765
657_fri_c2_250_10,15795,0.8717697345748971,0.8877393863894499
581_fri_c3_500_25,11964,0.8588849639370876,0.8799395516812341
644_fri_c4_250_25,22118,0.9465718158178524,0.47295567558069673
229_pwLinear,11284,0.9105419160513067,0.8396292740313407
210_cloud,5390,0.8959016575622109,0.6955549160697923
201_pol,22118,0.7370368930191292,0.7468523091623276
207_autoPrice,860,0.9623829764654955,0.830585265027521
631_fri_c1_500_5,21575,0.9499927500028448,0.9249611595361824
657_fri_c2_250_10,5390,0.9080988061598606,0.7861853313658625
522_pm10,22118,0.3774329515907583,0.25747525592777776
598_fri_c0_1000_25,29802,0.9671453207605033,0.9553422785356311
1089_USCrime,11964,0.9852627859557981,0.46982000571665594
608_fri_c3_1000_10,23654,0.961472505645395,0.9661071106659473
294_satellite_image,15795,0.828747744206773,0.812934611934319
601_fri_c1_250_5,23654,0.9717344347596372,0.9589539169880512
634_fri_c2_100_10,860,0.7843153119003761,0.7023252450484191
602_fri_c3_250_10,21575,0.9437608870312718,0.9148246306269376
650_fri_c0_500_50,860,0.8903015124346377,0.8891394618438746
1089_USCrime,860,0.9856300468102792,0.5860324010356113
1595_poker,22118,0.12578757256988826,0.10374458753800475
579_fri_c0_250_5,23654,0.9669439346124701,0.9415764177681878
621_fri_c0_100_10,860,0.868713565876746,0.7763401251427333
594_fri_c2_100_5,22118,0.8431168806332594,0.7097479680821479
584_fri_c4_500_25,11284,0.8818149135196387,0.8547882058793458
537_houses,21575,0.7387347211962261,0.7215619883384713
604_fri_c4_500_10,11964,0.9361951579946541,0.9315954753093353
192_vineyard,29802,0.8344971913785092,-9.600928553413851
609_fri_c0_1000_5,23654,0.9620481751095944,0.9580613533613628
607_fri_c4_1000_50,11964,0.877246180820155,0.8767604301960102
643_fri_c2_500_25,11964,0.913625405640617,0.9015351877207859
616_fri_c4_500_50,5390,0.8523288330064012,0.7598923919692346
523_analcatdata_neavote,6265,0.9482426519091229,0.8021608237735849
1029_LEV,29802,0.5957851062252023,0.533592957984631
1595_poker,5390,0.09436424556265666,0.07733660718497015
706_sleuth_case1202,860,0.8858806458016028,0.4814988304611838
