"ASin(((4.194986580330351e-10) + (((-1.0556772470082798e-12) * (Id((((x2)^(3)) * ((x1)^(-2))) * ((x0)^(2))))) + (((-1.0695207710090249e-7) * (Id((x2)^(1)))) + (((-1.640177879341023) * (Id((x2)^(-3)))) + (((0.9999999993344485) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1))))) + (((-3.0173891163443045e-10) * (Id((x0)^(-1)))) + (((2.0508456044510126e-11) * (Id(((x2)^(2)) * ((x0)^(-2))))) + (((1.0686192054853993e-7) * (Id((x2)^(1)))) + (((-5.382294002848065e-13) * (Id((x1)^(3)))) + ((7.029365154190281e-14) * (Id((((x2)^(3)) * ((x1)^(2))) * ((x0)^(1)))))))))))))) / ((1.0) + (((-1.6401778797787787) * (Id((((x2)^(-2)) * ((x1)^(1))) * ((x0)^(-1))))) + ((-5.429083571595328e-10) * (Id((((x2)^(1)) * ((x1)^(-1))) * ((x0)^(-2))))))))","[[4.194986580330351e-10,-1.0556772470082798e-12,-1.0695207710090249e-7,-1.640177879341023,0.9999999993344485,-3.0173891163443045e-10,2.0508456044510126e-11,1.0686192054853993e-7,-5.382294002848065e-13,7.029365154190281e-14,-1.6401778797787787,-5.429083571595328e-10]]","np.asin(((4.194986580330351e-10) + (((-1.0556772470082798e-12) * (((((x[:,2])**(3)) * ((x[:,1])**(-2))) * ((x[:,0])**(2))))) + (((-1.0695207710090249e-7) * (((x[:,2])**(1)))) + (((-1.640177879341023) * (((x[:,2])**(-3)))) + (((0.9999999993344485) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1))))) + (((-3.0173891163443045e-10) * (((x[:,0])**(-1)))) + (((2.0508456044510126e-11) * ((((x[:,2])**(2)) * ((x[:,0])**(-2))))) + (((1.0686192054853993e-7) * (((x[:,2])**(1)))) + (((-5.382294002848065e-13) * (((x[:,1])**(3)))) + ((7.029365154190281e-14) * (((((x[:,2])**(3)) * ((x[:,1])**(2))) * ((x[:,0])**(1)))))))))))))) / ((1.0) + (((-1.6401778797787787) * (((((x[:,2])**(-2)) * ((x[:,1])**(1))) * ((x[:,0])**(-1))))) + ((-5.429083571595328e-10) * (((((x[:,2])**(1)) * ((x[:,1])**(-1))) * ((x[:,0])**(-2))))))))"
"Id((-3.844237753207802e-3) + ((1.0317914446726544) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1))))))","[[-3.844237753207802e-3,1.0317914446726544]]","((-3.844237753207802e-3) + ((1.0317914446726544) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1))))))"
"Id((-3.844237753207802e-3) + ((1.0317914446726544) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1))))))","[[-3.844237753207802e-3,1.0317914446726544]]","((-3.844237753207802e-3) + ((1.0317914446726544) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1))))))"
"Id((-3.844237753207802e-3) + ((1.0317914446726544) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1))))))","[[-3.844237753207802e-3,1.0317914446726544]]","((-3.844237753207802e-3) + ((1.0317914446726544) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1))))))"
"Id((-3.844237753207802e-3) + ((1.0317914446726544) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1))))))","[[-3.844237753207802e-3,1.0317914446726544]]","((-3.844237753207802e-3) + ((1.0317914446726544) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1))))))"
"Id((-3.844237753207802e-3) + ((1.0317914446726544) * (Id((((x1)^(-1)) * ((x0)^(1))) * ((x2)^(-1))))))","[[-3.844237753207802e-3,1.0317914446726544]]","((-3.844237753207802e-3) + ((1.0317914446726544) * (((((x[:,1])**(-1)) * ((x[:,0])**(1))) * ((x[:,2])**(-1))))))"
"Id((-3.844237753207802e-3) + ((1.0317914446726544) * (Id((((x1)^(-1)) * ((x0)^(1))) * ((x2)^(-1))))))","[[-3.844237753207802e-3,1.0317914446726544]]","((-3.844237753207802e-3) + ((1.0317914446726544) * (((((x[:,1])**(-1)) * ((x[:,0])**(1))) * ((x[:,2])**(-1))))))"
"ASin(((-6.806412508366719e-17) + ((-3.210022136990176e-9) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1)))))) / ((1.0) + ((-1.0000000032100225) * (Id(((x2)^(3)) * ((x2)^(-3)))))))","[[-6.806412508366719e-17,-3.210022136990176e-9,-1.0000000032100225]]","np.asin(((-6.806412508366719e-17) + ((-3.210022136990176e-9) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1)))))) / ((1.0) + ((-1.0000000032100225) * ((((x[:,2])**(3)) * ((x[:,2])**(-3)))))))"
"ASin(((-0.11642522940369597) + ((1.0000000006678837) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1)))))) / ((1.0) + (((-3.824476929592535e-9) * (Id((((x2)^(1)) * ((x1)^(-3))) * ((x0)^(-1))))) + (((-0.11642522933859527) * (Id((((x2)^(1)) * ((x1)^(1))) * ((x0)^(-1))))) + ((5.760951105049372e-9) * (Id((x1)^(-2))))))))","[[-0.11642522940369597,1.0000000006678837,-3.824476929592535e-9,-0.11642522933859527,5.760951105049372e-9]]","np.asin(((-0.11642522940369597) + ((1.0000000006678837) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1)))))) / ((1.0) + (((-3.824476929592535e-9) * (((((x[:,2])**(1)) * ((x[:,1])**(-3))) * ((x[:,0])**(-1))))) + (((-0.11642522933859527) * (((((x[:,2])**(1)) * ((x[:,1])**(1))) * ((x[:,0])**(-1))))) + ((5.760951105049372e-9) * (((x[:,1])**(-2))))))))"
"ASin(((-0.11618225095573426) + ((0.9999999999457334) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1)))))) / ((1.0) + ((-0.11618225095219156) * (Id((((x2)^(1)) * ((x1)^(1))) * ((x0)^(-1)))))))","[[-0.11618225095573426,0.9999999999457334,-0.11618225095219156]]","np.asin(((-0.11618225095573426) + ((0.9999999999457334) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1)))))) / ((1.0) + ((-0.11618225095219156) * (((((x[:,2])**(1)) * ((x[:,1])**(1))) * ((x[:,0])**(-1)))))))"
"ASin(((-2.3323842857081445e-12) + (((8.379850979789438e-11) * (Id(((x2)^(-1)) * ((x0)^(-2))))) + (((0.9999999998627309) * (Id((((x2)^(-1)) * ((x1)^(-1))) * ((x0)^(1))))) + ((-0.2766265824515312) * (Id(((x2)^(-1)) * ((x0)^(1)))))))) / ((1.0) + ((-0.27662658245992466) * (Id((x1)^(1))))))","[[-2.3323842857081445e-12,8.379850979789438e-11,0.9999999998627309,-0.2766265824515312,-0.27662658245992466]]","np.asin(((-2.3323842857081445e-12) + (((8.379850979789438e-11) * ((((x[:,2])**(-1)) * ((x[:,0])**(-2))))) + (((0.9999999998627309) * (((((x[:,2])**(-1)) * ((x[:,1])**(-1))) * ((x[:,0])**(1))))) + ((-0.2766265824515312) * ((((x[:,2])**(-1)) * ((x[:,0])**(1)))))))) / ((1.0) + ((-0.27662658245992466) * (((x[:,1])**(1))))))"
